Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,DB pension entitlements,DC pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
2007:Q4,Next40,20670974,26385399,10025337,1839140,1809311,4874109,2360017,1249395,4228090,5714425,4601562,971248,141615
2007:Q4,Bottom50,1206852,6080690,3422505,1106854,130875,243940,319201,175096,682219,4873838,3381245,1374800,117793
2008:Q1,TopPt1,7479333,7572564,657264,234335,2613736,127869,75562,1842198,2021600,93231,47992,5771,39468
2008:Q1,RemainingTop1,10796234,11310870,2187105,371828,3243636,474053,608244,1992714,2433290,514636,399157,45979,69500
2008:Q1,Next9,24369372,27017274,6705178,935094,4467784,4960857,2264424,2797841,4886096,2647903,2211522,211173,225208
2008:Q1,Next40,20233788,25960855,9700264,1864974,1699415,4948680,2206826,1237656,4303040,5727066,4605931,959552,161583
2008:Q1,Bottom50,1050643,5988508,3350004,1116253,120069,238499,302806,172288,688589,4937866,3431996,1379532,126338
2008:Q2,TopPt1,7254542,7348928,655790,224377,2497498,116694,70887,1779581,2004100,94385,51336,6802,36247
2008:Q2,RemainingTop1,10568036,11085889,2116696,365840,3102426,485605,608429,1972029,2434865,517853,392349,48326,77178
2008:Q2,Next9,23993875,26653499,6519112,958911,4317796,4996810,2271766,2730927,4858177,2659624,2257695,211644,190285
2008:Q2,Next40,19967072,25633477,9425452,1881972,1642819,5033897,2179554,1237873,4231911,5666405,4564828,965674,135903
2008:Q2,Bottom50,998475,5921509,3306722,1116708,113911,233174,301730,172117,677147,4923034,3416663,1388006,118365
2008:Q3,TopPt1,6814483,6917653,656450,229298,2135590,105477,59825,1665472,2065541,103170,52725,7162,43283
2008:Q3,RemainingTop1,10096962,10603792,2054751,357884,2637979,496691,580566,1925390,2550531,506830,389830,50682,66318
2008:Q3,Next9,23255666,25926534,6370465,968880,3801246,5023060,2155817,2610080,4996986,2670869,2216274,210323,244272
2008:Q3,Next40,19454322,25146185,9143222,1899530,1480656,5109691,2007678,1229738,4275669,5691863,4542695,965552,183616
2008:Q3,Bottom50,812644,5814420,3232889,1121177,99281,227728,281753,170370,681223,5001776,3452354,1410094,139328
2008:Q4,TopPt1,6181762,6284203,658560,238891,1618051,94180,45088,1521541,2107892,102441,54261,7647,40533
2008:Q4,RemainingTop1,9478139,10021667,1999532,345759,1972633,507013,530444,1861543,2804743,543528,384968,53313,105247
2008:Q4,Next9,22318077,24832177,6245371,966105,3029610,5033103,1920463,2456526,5180999,2514100,2180559,208419,125122
2008:Q4,Next40,18911451,24470670,8871292,1900409,1234425,5169813,1728827,1214817,4351088,5559219,4498434,959763,101022
2008:Q4,Bottom50,678027,5673147,3150265,1114093,78750,222087,248338,167455,692159,4995120,3459039,1414647,121434
2009:Q1,TopPt1,5838017,5939568,659954,242505,1408400,82787,38460,1373784,2133678,101551,55893,7621,38037
2009:Q1,RemainingTop1,9125485,9673826,1942893,334300,1710840,516509,517185,1792157,2859943,548341,383076,55687,109578
2009:Q1,Next9,21749749,24203358,6109822,968717,2713566,5025351,1878982,2296581,5210339,2453608,2149411,200519,103678
2009:Q1,Next40,18531589,24024988,8609784,1900688,1121215,5212781,1649373,1196026,4335121,5493399,4485417,923007,84975
2009:Q1,Bottom50,547117,5558583,3081319,1105071,69140,216235,238658,163995,684166,5011466,3503231,1391308,116927
2009:Q2,TopPt1,5807423,5913819,661899,237511,1750370,71595,41379,1158717,1992348,106397,58283,8188,39926
2009:Q2,RemainingTop1,9386674,9930549,1891242,325056,2166217,527459,554644,1681913,2784018,543875,377955,58385,107535
2009:Q2,Next9,22029642,24493211,5978262,981913,3264812,5047893,2078309,2061211,5080812,2463570,2155161,197088,111321
2009:Q2,Next40,18610826,24063077,8391623,1905836,1280488,5284978,1814338,1160277,4225537,5452251,4449500,907638,95113
2009:Q2,Bottom50,514404,5521492,3039975,1097658,79819,210784,260675,157706,674875,5007088,3505913,1377574,123601
2009:Q3,TopPt1,6154475,6265221,666310,229092,2103397,60445,44781,1102514,2058681,110746,59888,8600,42258
2009:Q3,RemainingTop1,9844042,10383854,1852190,315159,2641064,538610,593942,1653833,2789056,539812,373739,60432,105641
2009:Q3,Next9,22765986,25205611,5877554,995711,3820686,5073882,2293951,1994571,5149256,2439625,2122687,195089,121849
2009:Q3,Next40,18857120,24281025,8230832,1905640,1431551,5360547,1994884,1151798,4205773,5423905,4412669,903346,107890
